travel_id,lodging_nm,lodging_payment_seq,lodging_type_cd,rsvt_yn,chk_in_dt_min,chk_out_dt_min,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc
h_h001398,나비스호스텔,1,1,Y,,,5,,제주 나비스호텔,제주특별자치도 제주시 애월읍 애월해안로 885,제주특별자치도 제주시 애월읍 하귀2리 2749-3,3349131,5011025341,2023-06-25 22:18:00,1,55000,숙박비
h_h002784,함덕8길5,0,7,Y,,,1,,,제주특별자치도 제주시 조천읍 함덕8길 5,제주특별자치도 제주시 조천읍 함덕리 1049-7,,,,5,55000,
h_h003092,아루미호텔 협재점,1,1,Y,,,4,,주식회사 케이지모빌리언스,서울 중구 통일로 92,서울 중구 순화동 1-170,3000008,1114016800,2023-08-06 01:24:00,1,55000,협재-더블룸아루미호텔협재 
h_h001570,이큐스테이,0,2,Y,,,4,,,제주특별자치도 제주시 한림읍 금능남1길 6-1,제주특별자치도 제주시 한림읍 금능리 1258,,,,1,59000,
h_h004179,코지하우스,0,3,Y,,,2,,,제주특별자치도 제주시 한림읍 금능9길 28,제주특별자치도 제주시 한림읍 금능리 1493,,,,5,64000,
h_h004179,코지하우스,1,3,Y,,,2,,,,,,,2023-08-16 19:22:00,3,64000,숙박비
h_h001557,블루하와이리조트,1,4,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-06 18:08:00,1,65000,블루하와이리조트 
h_h000534,바랑쉬게스트하우스,0,7,Y,,,2,,,제주특별자치도 서귀포시 성산읍 환해장성로 496,제주특별자치도 서귀포시 성산읍 온평리 1111-2,,,,3,70000,
h_h000723,드랑드랑,0,8,Y,,,2,,,제주특별자치도 제주시 사라길 124,제주특별자치도 제주시 도평동 1191-1,,,,5,95000,
h_h002815,코업시티호텔 성산,0,1,Y,,,2,,,제주특별자치도 서귀포시 성산읍 성산등용로 28,제주특별자치도 서귀포시 성산읍 성산리 250,,,,1,105000,
h_h003540,제주도게스트하우스파티 한담누리,1,7,Y,,,4,,제주도게스트하우스파티애월 한담누리,제주특별자치도 제주시 애월읍 일주서로 6158,제주특별자치도 제주시 애월읍 애월리 2443-2,3349236,5011025334,2023-08-21 00:00:00,1,115000,숙박비
h_h005367,제주혼디펜션,0,3,Y,,,4,,,제주특별자치도 제주시 애월읍 신엄안3길 20,제주특별자치도 제주시 애월읍 신엄리 2654-1,,,,1,115000,
h_h001617,제주락,0,3,Y,,,2,,,제주특별자치도 서귀포시 월드컵로 203,제주특별자치도 서귀포시 법환동 1540,,,,1,215000,
g_g005682,이스턴호텔 제주,0,1,Y,,,1,,,제주특별자치도 서귀포시 서호중로 65,제주특별자치도 서귀포시 서호동 1522-2,,,,1,50388,
h_h000001,제주다모르,1,3,Y,,,3,,제주다모르펜션,제주특별자치도 서귀포시 성산읍 오조로 149-33,제주특별자치도 서귀포시 성산읍 오조리 596,3350213,5013025922,2023-03-11 21:50:00,1,158000,숙박비
h_h000001,팜파스호텔 제주,1,1,Y,,,3,,팜파스호텔 제주,제주특별자치도 제주시 서해안로 368-3,제주특별자치도 제주시 용담삼동 2555,3349093,5011011000,2023-03-11 21:40:00,1,50100,
h_h000008,올레리조트,0,4,Y,,,3,,,제주특별자치도 제주시 애월읍 부룡수길 33,제주특별자치도 제주시 애월읍 신엄리 2867-3,,,,1,234000,
